,id,carat,cut,color,clarity,depth,table,x,y,z
0,0,0.0706860706860707,0.75,0.16666666666666666,0.42857142857142855,0.3786764705882353,0.4444444444444444,0.4897579143389199,0.49430740037950666,0.4598853868194842
1,1,0.02494802494802495,1.0,0.9999999999999999,0.42857142857142855,0.40808823529411753,0.3055555555555556,0.4078212290502793,0.4212523719165086,0.39255014326647564
2,2,0.02079002079002079,0.25,0.6666666666666666,0.7142857142857142,0.46323529411764697,0.36111111111111094,0.3966480446927374,0.40702087286527516,0.38968481375358166
3,3,0.09563409563409564,0.5,0.33333333333333337,0.2857142857142857,0.30147058823529416,0.4166666666666665,0.5297951582867785,0.5426944971537002,0.48424068767908307
4,4,0.04573804573804574,1.0,0.33333333333333337,0.42857142857142855,0.404411764705882,0.33333333333333326,0.44599627560521415,0.45730550284629984,0.4269340974212034
5,5,0.04158004158004158,1.0,0.5,1.0,0.3713235294117647,0.4166666666666665,0.43947858472998136,0.4497153700189754,0.4140401146131805
6,6,0.21413721413721415,1.0,0.5,0.5714285714285714,0.39705882352941146,0.38888888888888884,0.6415270018621974,0.650853889943074,0.6088825214899714
7,7,0.15176715176715178,0.25,0.8333333333333334,0.42857142857142855,0.26470588235294135,0.4722222222222221,0.5968342644320298,0.6148007590132828,0.5372492836676217
8,8,0.1496881496881497,0.75,0.16666666666666666,0.14285714285714285,0.3933823529411764,0.4444444444444444,0.5837988826815642,0.5863377609108159,0.5501432664756446
9,9,0.17255717255717257,1.0,0.5,0.5714285714285714,0.38235294117647034,0.33333333333333326,0.6052141527001862,0.6195445920303606,0.5730659025787965
10,10,0.16632016632016633,0.5,0.33333333333333337,0.2857142857142857,0.4522058823529409,0.4166666666666665,0.590316573556797,0.6034155597722961,0.5759312320916904
11,11,0.01455301455301456,1.0,0.5,0.8571428571428572,0.42279411764705865,0.36111111111111094,0.38640595903165736,0.39658444022770395,0.37249283667621774
12,12,0.04365904365904366,0.75,0.16666666666666666,0.42857142857142855,0.32352941176470584,0.4722222222222221,0.45344506517690875,0.45825426944971537,0.41547277936962745
13,13,0.062370062370062374,0.75,0.16666666666666666,0.2857142857142857,0.4411764705882353,0.4166666666666665,0.4729981378026071,0.47817836812144215,0.45702005730659023
14,14,0.20997920997921,1.0,0.6666666666666666,0.2857142857142857,0.4374999999999998,0.38888888888888884,0.6312849162011174,0.6394686907020873,0.6088825214899714
15,15,0.17255717255717257,1.0,0.5,0.42857142857142855,0.341911764705882,0.36111111111111094,0.6135940409683426,0.6214421252371917,0.5673352435530086
16,16,0.17671517671517672,0.5,0.8333333333333334,0.42857142857142855,0.44852941176470584,0.4444444444444444,0.6024208566108007,0.6110056925996206,0.5845272206303724
17,17,0.02079002079002079,0.5,0.0,0.42857142857142855,0.404411764705882,0.4166666666666665,0.3994413407821229,0.40986717267552186,0.38252148997134666
18,18,0.2702702702702703,0.75,0.5,0.2857142857142857,0.3749999999999998,0.4166666666666665,0.6834264432029795,0.7058823529411765,0.64756446991404
19,19,0.21621621621621623,1.0,0.0,0.2857142857142857,0.40073529411764697,0.36111111111111094,0.6424581005586593,0.6518026565464896,0.6103151862464182
20,20,0.02494802494802495,1.0,0.5,0.5714285714285714,0.38235294117647034,0.3055555555555556,0.41433891992551214,0.42504743833017083,0.39255014326647564
21,21,0.04573804573804574,0.5,0.16666666666666666,0.8571428571428572,0.34926470588235303,0.33333333333333326,0.45158286778398504,0.46489563567362435,0.42263610315186245
